Company,Job Title,ATS Score
Postman,DevOps,40
Harness,Database DevOps,40
Harness,DevOps & Automation,40
Harness,Accelerate innovation velocity with a modern DevOps toolchain.,40
Harness,AI for DevOps & Automation,40
Adobe,"Product Marketing Manager, Creative Cloud, McLean, Virginia, USA",15
Atlassian,"Cloud Senior Support Engineer, Amsterdam",15
Atlassian,"Cloud Support Manager, Pune",15
Atlassian,"Engineering Manager, Bengaluru",10
Harness,Cloud & AI Cost Management,10
ServiceNow,Forward Deployed Engineering- Build Manager,10
Harness,"Optimize cloud spend, resource utilization, and developer productivity.",10
Atlassian,"Principal Engineer, Berlin",5
Atlassian,"Senior Software Engineer, Hamilton",5
Atlassian,"Senior Software Engineer, St. Louis",5
Atlassian,"Software Engineer, Adelaide",5
Atlassian,"Principal Engineer, Bengaluru",5
Postman,AI Engineer is ready to help,5
Postman,AI Engineer,5
PhonePe,Engineering,5
PhonePe,Software Development Engineer,5
ServiceNow,"AI, Engineering, & Product",5
ServiceNow,Forward Deployed Solution Engineer – Applied AI FDE,5
Harness,Engineering,5
Harness,Senior Software Engineer II,5
