Company,Job Title
Atlassian,"Engineering Manager, Bengaluru"
Atlassian,"Product Manager, Melbourne"
Atlassian,"Senior Software Engineer, Hamilton"
Atlassian,"Cloud Support Manager, Pune"
Atlassian,"Software Engineer, Adelaide"
Atlassian,"Principal Engineer, Bengaluru"
Atlassian,"Cloud Senior Support Engineer, Amsterdam"
Atlassian,"Senior Software Engineer, St. Louis"
Atlassian,"Principal Engineer, Berlin"
Atlassian,"Senior Customer Success Manager, Washington"
Adobe,"Software Development Manager, Bucharest, Romania"
Adobe,"Enterprise Sales Account Manager, London"
Adobe,"Product Marketing Manager, Creative Cloud, McLean, Virginia, USA"
