Company,Job Title,ATS Score
Amazon,"Graduate Devops Engineer, AWS",60
Amazon,"DevOps Engineer II, AEP",40
Amazon,"DevOps Engineer, Trident",40
Amazon,"DevOps Engineer-III, JP-CP",40
Amazon,"DevOPS/Systems Engineer, Managed Operations",40
Amazon,Senior DevOps Engineer,40
Amazon,"DevOps Engineer-II, JP-CP",40
Amazon,Kubernetes Engineer,35
Amazon,Associate DevOps Analyst,30
Amazon,DevOps,30
Amazon,"Delivery Consultant-DevOps, WWPS ProServe",30
Amazon,Terraform Engineer,30
Amazon,Platform Engineer,25
Amazon,Site Reliability Engineer,25
Amazon,Cloud Engineer,25
